index,quote,author,tags,likes
0,"Quem não arrisca não petisca.",Provérbio,provérbios;risco,0
1,"A transformação começa quando nos permitimos ser diferentes do que éramos, sem culpa e sem desculpas.",Rubem Alves,transformação;autenticidade;mudança,0
2,"Fazer poesia é ser mais sensível do que o comum.",Cecília Meireles,poesia;sensibilidade,0
3,"O que move o mundo não é apenas o que sabemos, mas sobretudo o que ainda sonhamos e nos atrevemos a realizar.",Machado de Assis,sonho;ação;motivação,0
4,"A morte nos ensina que cada momento vale a pena ser vivido com plenitude, atenção e profundo apreço.",Rubem Alves,morte;finitude;presença,0
5,"E agora, José?",Carlos Drummond de Andrade,poesia;existencialismo,0
6,"Aprender a escutar é descobrir histórias inteiras escondidas entre as pausas de uma conversa.",Caio Fernando Abreu,escuta;histórias;conversa,0
7,"A vida é breve, mas cabe nela muito mais do que somos capazes de viver.",Mário Quintana,vida;poesia,0
8,"Somos todos heróis da nossa própria história, escritores do nosso destino, e arquitetos silenciosos das mudanças que queremos ver no mundo.",Paulo Coelho,destino;responsabilidade;poder pessoal,0
9,"A arte existe porque a vida não basta.",Ferreira Gullar,arte;vida,0
10,"Na natureza, cada pequena folha sussurra a profundidade do universo que habita em sua forma delicada e única.",Cora Coralina,natureza;universo;beleza,0
11,"Viver intensamente não é correr sem rumo, é escolher com propósito cada direção que se toma.",Luiz Fernando Veríssimo,vida;propósito;escolha,0
12,"O amor é a melhor coisa que temos.",Vinicius de Moraes,amor;vida,0
13,"Liberdade é pouco. O que eu desejo ainda não tem nome.",Clarice Lispector,liberdade;desejo,0
14,"Há momentos em que o silêncio diz mais do que qualquer discurso: ele revela a verdade que as palavras escondem.",Cora Coralina,silêncio;verdade;reflexão,0
15,"A resiliência não é uma característica que algumas pessoas nascem tendo, mas uma habilidade que se constrói diariamente no encontro com o próprio sofrimento.",Paulo Freire,resiliência;adversidade;crescimento,0
16,"A serenidade de quem aceita o que não pode mudar é o início da verdadeira liberdade.",Rubem Alves,serenidade;liberdade;aceitação,0
17,"Cada pessoa que passa em nossa vida passa sozinho, é obra de viagem, não é chegada nem partida.",Mário Quintana,vida;viagem;solidão,0
18,"No meio do caminho tinha uma pedra.",Carlos Drummond de Andrade,poesia;obstáculo,0
19,"Quando acreditamos que uma coisa é impossível, nos tornamos cúmplices de sua impossibilidade.",Paulo Coelho,crença;possibilidade;mentalidade,0
20,"A injustiça em um lugar qualquer representa uma ameaça à justiça em todo o lugar e nos convida a agir com consciência.",Paulo Freire,justiça;consciência;responsabilidade,0
21,"Às vezes precisamos perder o caminho para descobrir novas paisagens da nossa própria alma.",Paulo Coelho,alma;viagem;descoberta,0
22,"A cidade pulsa como se respirasse histórias que só ganham vida quando alguém decide contá-las.",Chico Buarque,cidade;histórias;vida,0
23,"Aqueles que ousam viver plenamente descobrem que a jornada importa mais do que o destino e que cada passo marca a alma.",Luiz Fernando Veríssimo,jornada;vivência;aprendizado,0
24,"Quando escrevo, encontro as palavras que me explicam o que eu não sabia sobre mim.",Clarice Lispector,escrita;autoconhecimento,0
25,"A criatividade brota quando aceitamos que não sabemos tudo e nos tornamos curiosos como crianças diante do mundo.",Marina Colasanti,criatividade;curiosidade;aprendizado,0
26,"Saber viver é saber conviver.",Anônimo,vida;conviver;sabedoria,0
27,"A coragem não é ausência de medo, mas a decisão firme de avançar apesar dele, passo a passo.",Paulo Freire,coragem;medo;educação,0
28,"No coração da solidão habita a possibilidade de encontrar nossas verdadeiras vozes e nossas mais genuínas verdades.",Clarice Lispector,solidão;verdade;introspecção,0
29,"A amizade verdadeira não mede distâncias, conta confidências e acumula memórias que aquecem o peito.",Mário Quintana,amizade;memórias;afeto,0
30,"Na beleza simples de um amanhecer, uma palavra bem colocada ou um abraço sincero reside toda a magia que precisamos para renovar a esperança.",Cora Coralina,beleza;esperança;presente,0
31,"As palavras certas no momento preciso podem abrir portas que até então pareciam trancadas para sempre.",Ferreira Gullar,palavras;momento;oportunidade,0
32,"Não tenho tempo para mais nada: ser feliz me consome muito.",Clarice Lispector,vida;felicidade,0
33,"A esperança é o sonho do homem acordado.",Aristóteles,esperança;sonho,0
34,"Cada livro que lemos planta uma semente de pensamento que, com o tempo, floresce em mudança.",Jorge Amado,livros;leitura;transformação,0
35,"Às vezes, a melhor decisão é aquela que te afasta de quem ou do que não te alimenta mais a alma.",Clarice Lispector,decisão;autodescoberta;libertação,0